Group,N,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Kendall_r,Kendall_p
Embedded system,13429,0.17457098,0.0,0.17382429,0.0,0.13197201,0.0
Geology,382932,0.14708168,0.0,0.13490745,0.0,0.10413232,0.0
Geomorphology,116796,0.14666335,0.0,0.13467425,0.0,0.1037525,0.0
Computer security,4744,0.14561849,0.0,0.13703272,0.0,0.10434966,0.0
Physical geography,85218,0.14353221,0.0,0.11992135,0.0,0.09338696,0.0
Food science,18785,0.13840481,0.0,0.11889441,0.0,0.08939797,0.0
Finance,858056,0.13662942,0.0,0.13233464,0.0,0.10334825,0.0
Environmental resource management,100568,0.13546159,0.0,0.12432053,0.0,0.09608744,0.0
Accounting,49589,0.13515092,0.0,0.12957181,0.0,0.10067765,0.0
Agronomy,3731,0.13387185,0.0,0.11539982,0.0,0.08920553,0.0
Information retrieval,2112,0.12967957,0.0,0.11218264,2.4e-07,0.08672696,2.1e-07
Geodesy,10369,0.12881129,0.0,0.09647211,0.0,0.075265,0.0
Veterinary medicine,7870,0.12846668,0.0,0.10833867,0.0,0.08099276,0.0
Operating system,1092634,0.12769033,0.0,0.12489633,0.0,0.09583011,0.0
Environmental chemistry,352395,0.12711032,0.0,0.10830634,0.0,0.08284132,0.0
Macroeconomics,55068,0.12404383,0.0,0.12128985,0.0,0.09386688,0.0
Physics,3461282,0.12401013,0.0,0.10506239,0.0,0.08143609,0.0
Artificial intelligence,163159,0.12354003,0.0,0.11612397,0.0,0.08970133,0.0
Soil science,19266,0.12199896,0.0,0.09775613,0.0,0.07487648,0.0
Advertising,86898,0.12197946,0.0,0.11172739,0.0,0.08709523,0.0
Toxicology,4221,0.12155074,0.0,0.09745278,0.0,0.07361363,0.0
Statistics,1656475,0.12084345,0.0,0.11440507,0.0,0.08903038,0.0
Machine learning,306405,0.12065023,0.0,0.11558666,0.0,0.090148,0.0
Computer network,21683,0.12038267,0.0,0.11973133,0.0,0.09145309,0.0
Data mining,67415,0.1198233,0.0,0.11732608,0.0,0.09046859,0.0
Risk analysis (engineering),46628,0.11947137,0.0,0.10920263,0.0,0.08427062,0.0
Oceanography,541449,0.11682181,0.0,0.10033565,0.0,0.07749971,0.0
Computer graphics (images),35292,0.11568518,0.0,0.10414977,0.0,0.08007485,0.0
Human–computer interaction,201744,0.11520011,0.0,0.11287297,0.0,0.08628979,0.0
Meteorology,11831,0.11513233,0.0,0.09166976,0.0,0.07062685,0.0
Engineering,1273711,0.11503888,0.0,0.09424259,0.0,0.07198104,0.0
Algorithm,788099,0.1127508,0.0,0.10449341,0.0,0.08168812,0.0
Animal science,123131,0.1119936,0.0,0.09451497,0.0,0.07191775,0.0
Mathematics,16716,0.11139469,0.0,0.12579593,0.0,0.09847344,0.0
Fishery,13104,0.11138595,0.0,0.07614127,0.0,0.05811875,0.0
Electrical engineering,850217,0.11072712,0.0,0.10210403,0.0,0.07809198,0.0
Programming language,23548,0.10968917,0.0,0.08432508,0.0,0.0655417,0.0
Developmental psychology,171979,0.10905825,0.0,0.07752804,0.0,0.05941335,0.0
Psychology,239320,0.10900915,0.0,0.07768487,0.0,0.05968836,0.0
Software engineering,68993,0.10898975,0.0,0.09916087,0.0,0.07624007,0.0
Polymer science,27937,0.10862966,0.0,0.0896722,0.0,0.06861893,0.0
Environmental economics,4038,0.1078971,0.0,0.10846146,0.0,0.08472304,0.0
All Data,29056318,0.10729756,0.0,0.08188485,0.0,0.06285432,0.0
Public economics,80869,0.10723737,0.0,0.10914924,0.0,0.08684673,0.0
Internet privacy,63456,0.10616249,0.0,0.09226032,0.0,0.07167419,0.0
Business,182682,0.10530382,0.0,0.10418097,0.0,0.08106976,0.0
Virology,137352,0.10509055,0.0,0.05257074,0.0,0.03967261,0.0
Horticulture,244209,0.10465286,0.0,0.09122335,0.0,0.06964179,0.0
Mathematical optimization,44420,0.10146427,0.0,0.09482958,0.0,0.07468127,0.0
Mathematical analysis,196403,0.10114046,0.0,0.09371645,0.0,0.07357197,0.0
Economy,34739,0.09955775,0.0,0.09579857,0.0,0.07529742,0.0
Epistemology,811973,0.09937623,0.0,0.09289702,0.0,0.07300442,0.0
Biotechnology,57869,0.09935719,0.0,0.07035815,0.0,0.05324199,0.0
Chemistry,523897,0.09901788,0.0,0.07463617,0.0,0.05670549,0.0
Computer engineering,10967,0.09889836,0.0,0.08632469,0.0,0.06668082,0.0
Sociology,468831,0.09828363,0.0,0.05483264,0.0,0.04260706,0.0
Geometry,6608,0.09804352,0.0,0.09061785,0.0,0.07039562,0.0
Combinatorics,399676,0.09795603,0.0,0.09619946,0.0,0.07612441,0.0
Composite material,248656,0.09693078,0.0,0.08211733,0.0,0.06254618,0.0
Mathematics education,75757,0.09651013,0.0,0.09682203,0.0,0.0747373,0.0
Nuclear engineering,94602,0.09624915,0.0,0.08233786,0.0,0.06304869,0.0
Nuclear chemistry,117597,0.09439256,0.0,0.07854783,0.0,0.05964271,0.0
World Wide Web,172049,0.09428843,0.0,0.06012625,0.0,0.04609522,0.0
Data science,3201,0.09415404,9e-08,0.07865563,8.38e-06,0.06127816,7.66e-06
Radiochemistry,4288,0.09393228,0.0,0.063733,2.961e-05,0.04820754,3.504e-05
Archaeology,48465,0.09351107,0.0,0.06325832,0.0,0.0490748,0.0
Metallurgy,18563,0.09271391,0.0,0.08225637,0.0,0.06259807,0.0
Paleontology,96645,0.09240479,0.0,0.05453273,0.0,0.04180558,0.0
History,3581,0.09156887,4e-08,0.11179809,0.0,0.08901761,0.0
Economics,39164,0.09080495,0.0,0.07836911,0.0,0.06118413,0.0
Econometrics,10354,0.08974385,0.0,0.08436389,0.0,0.06698501,0.0
Andrology,13901,0.08950771,0.0,0.05652057,0.0,0.04285794,0.0
Ecology,261230,0.08941032,0.0,0.0623663,0.0,0.04827055,0.0
Distributed computing,71477,0.08939027,0.0,0.08795618,0.0,0.06802996,0.0
Organic chemistry,512693,0.08914227,0.0,0.07158078,0.0,0.05448471,0.0
Immunology,72802,0.08871338,0.0,0.03620124,0.0,0.02715733,0.0
Physical chemistry,128726,0.0885186,0.0,0.07211628,0.0,0.05529293,0.0
Pure mathematics,35060,0.08806664,0.0,0.07200205,0.0,0.05753923,0.0
Inorganic chemistry,6495,0.08798638,0.0,0.06676109,7e-08,0.05076523,7e-08
Optics,1496067,0.08784805,0.0,0.07067961,0.0,0.05463824,0.0
Ophthalmology,112721,0.08780033,0.0,0.04715785,0.0,0.03581324,0.0
Materials science,15328,0.08750943,0.0,0.08231149,0.0,0.06224722,0.0
Manufacturing engineering,20937,0.08750013,0.0,0.08899819,0.0,0.06760585,0.0
Discrete mathematics,52334,0.08596253,0.0,0.07491526,0.0,0.05972522,0.0
Endocrinology,200015,0.08582612,0.0,0.06223943,0.0,0.04724343,0.0
Gynecology,46284,0.08526799,0.0,0.09203296,0.0,0.06881468,0.0
Biology,21405,0.08465015,0.0,0.07073647,0.0,0.05489125,0.0
Traditional medicine,7952,0.08448507,0.0,0.08480349,0.0,0.06283944,0.0
Gender studies,167790,0.08398204,0.0,0.06941803,0.0,0.05498496,0.0
Nursing,31725,0.08368933,0.0,0.04770571,0.0,0.03615802,0.0
Psychiatry,666454,0.08358054,0.0,0.04946273,0.0,0.03724318,0.0
Pathology,336097,0.08236214,0.0,0.05084231,0.0,0.03827251,0.0
Physical therapy,5585,0.08208135,0.0,0.05454043,4.541e-05,0.04161821,3.395e-05
Computer architecture,13263,0.0819162,0.0,0.07458103,0.0,0.05677721,0.0
Philosophy,798335,0.07941111,0.0,0.05760994,0.0,0.04474155,0.0
Optometry,10254,0.07906652,0.0,0.06096502,0.0,0.04645395,0.0
Economic policy,26923,0.07870384,0.0,0.07093468,0.0,0.05503988,0.0
Botany,34562,0.07788483,0.0,0.06080124,0.0,0.04749685,0.0
Geography,37682,0.07784689,0.0,0.06942141,0.0,0.05370237,0.0
Construction engineering,16908,0.07747199,0.0,0.07080044,0.0,0.05394192,0.0
Chemical physics,4049,0.07700158,9.3e-07,0.05153712,0.001036,0.04024889,0.00102934
Financial economics,75714,0.07601238,0.0,0.06835575,0.0,0.05283559,0.0
Labour economics,5365,0.0758299,3e-08,0.08169103,0.0,0.06531051,0.0
Biomedical engineering,19536,0.07550294,0.0,0.04647188,0.0,0.03477632,0.0
Nanotechnology,51756,0.07527285,0.0,0.05680975,0.0,0.04373667,0.0
Neoclassical economics,6450,0.07417086,0.0,0.07423663,0.0,0.05943185,0.0
Oncology,2736,0.07363297,0.00011574,0.03562975,0.06240352,0.02716332,0.05968084
Mathematical economics,13134,0.07343568,0.0,0.06994932,0.0,0.05589716,0.0
Psychoanalysis,120885,0.07300161,0.0,0.04672971,0.0,0.035998,0.0
Internal medicine,2389890,0.07242352,0.0,0.04529868,0.0,0.03414979,0.0
Aesthetics,218926,0.07236737,0.0,0.06808818,0.0,0.05396273,0.0
Medicinal chemistry,148034,0.07105977,0.0,0.05858771,0.0,0.04477059,0.0
Anatomy,649762,0.07025318,0.0,0.04444328,0.0,0.03399586,0.0
Biochemistry,69158,0.06993655,0.0,0.0352319,0.0,0.02698478,0.0
Environmental science,11189,0.06990307,0.0,0.07503254,0.0,0.05704602,0.0
Particle physics,120873,0.06942876,0.0,0.04640315,0.0,0.03661387,0.0
Genetics,245585,0.06895176,0.0,0.02892634,0.0,0.02194542,0.0
Anesthesia,7696,0.06809798,0.0,0.03330833,0.00347378,0.02487153,0.00352752
Dentistry,17818,0.06783456,0.0,0.04036315,7e-08,0.03028869,7e-08
Obstetrics,40200,0.06730299,0.0,0.04518886,0.0,0.03350173,0.0
Political economy,31623,0.06612238,0.0,0.05732551,0.0,0.04618641,0.0
Surgery,287040,0.06567008,0.0,0.03826292,0.0,0.0287079,0.0
Parallel computing,4451,0.06491783,1.462e-05,0.05739837,0.00012738,0.04447119,0.00012503
Engineering management,54706,0.06334806,0.0,0.06474032,0.0,0.04966904,0.0
Neuroscience,55699,0.06167848,0.0,0.02521496,0.0,0.019199,0.0
Library science,67582,0.06061848,0.0,0.03859005,0.0,0.02950445,0.0
Ancient history,2473,0.06032474,0.00268987,0.02563748,0.2024869,0.02048812,0.19611608
Cardiology,5615,0.05897864,9.76e-06,0.03547035,0.00785697,0.02669484,0.00803342
Radiology,150764,0.05865392,0.0,0.03011584,0.0,0.02236125,0.0
International trade,3883,0.05807803,0.00029352,0.05040658,0.00167794,0.04039932,0.00164498
Literature,94506,0.05750094,0.0,0.03856318,0.0,0.030321,0.0
Medicine,50978,0.05708419,0.0,0.04799619,0.0,0.03562946,0.0
Pediatrics,8265,0.05615271,3.3e-07,0.02937556,0.00756786,0.02171463,0.00785641
Positive economics,13144,0.05606267,0.0,0.0428565,8.9e-07,0.03457173,8.6e-07
Computational chemistry,47468,0.05477179,0.0,0.04663583,0.0,0.03625579,0.0
Art,335993,0.05384947,0.0,0.03063343,0.0,0.02412419,0.0
Computer science,69216,0.05253235,0.0,0.06284858,0.0,0.0480581,0.0
Dermatology,29004,0.05165654,0.0,0.02834387,1.38e-06,0.02123927,1.43e-06
Regional science,4927,0.04694183,0.0009809,0.05409827,0.00014521,0.04235856,0.00015149
Molecular biology,383421,0.04691705,0.0,0.0339504,0.0,0.0257538,0.0
Biophysics,186464,0.04518222,0.0,0.0311272,0.0,0.02399091,0.0
Urology,8841,0.04515737,2.161e-05,0.01921789,0.07077721,0.01437276,0.07326246
Intensive care medicine,13642,0.04354544,3.6e-07,0.02003429,0.01928348,0.01478176,0.02334828
Political science,81427,0.04311497,0.0,0.0366119,0.0,0.02856054,0.0
Family medicine,4156,0.03737795,0.01596288,0.01735755,0.2632521,0.0128821,0.26707829
Computational biology,2074,0.02516977,0.25189785,-0.01838704,0.40262986,-0.01530038,0.37399829
Cancer research,21425,0.01927465,0.00478171,-0.01839371,0.00709378,-0.0139827,0.00670826
